image1.png,|     species
image114.png,|     species
0  Bari2_062|
image115.png,|     species
0  Bari2_062|
image116.png,|     species
0  Bari2_062|
image117.png,|     species
0  Bari2_062|
image118.png,|     species
0  Bari2_062|
image119.png,|     species
0  Bari2_062|
image120.png,|     species
0  Bari2_062|
image121.png,|     species
0  Bari2_062|
image122.png,|     species
0  Bari2_062|
image123.png,|     species
0  Bari2_062|
image124.png,|     species
0  Bari2_062|
image125.png,|     species
0  Bari2_062|
image126.png,|     species
0  Bari2_062|
image127.png,|     species
0  Bari2_062|
image128.png,|     species
0  Bari2_062|
image129.png,|     species
0  Bari2_062|
image130.png,|     species
0  Bari2_062|
image131.png,|     species
0  Bari2_062|
image132.png,|     species
0  Bari2_062|
image133.png,|     species
0  Bari2_062|
image134.png,|     species
0  Bari2_062|
image135.png,|     species
0  Bari2_062|
image136.png,|     species
0  Bari2_062|
image137.png,|     species
0  Bari2_062|
image138.png,|     species
0  Bari2_062|
image139.png,|     species
0  Bari2_062|
image140.png,|     species
0  Bari2_062|
image141.png,|     species
0  Bari2_062|
image142.png,|     species
0  Bari2_062|
image143.png,|     species
0  Bari2_062|
image144.png,|     species
0  Bari2_062|
image145.png,|     species
0  Bari2_062|
image146.png,|     species
0  Bari2_062|
image147.png,|     species
0  Bari2_062|
image148.png,|     species
0  Bari2_062|
image149.png,|     species
0  Bari2_062|
image150.png,|     species
0  Bari2_062|
image151.png,|     species
0  Bari2_062|
image152.png,|     species
0  Bari2_062|
image153.png,|     species
0  Bari2_062|
image154.png,|     species
0  Bari2_062|
image155.png,|     species
0  Bari2_062|
image156.png,|     species
0  Bari2_062|
image157.png,|     species
0  Bari2_062|
image158.png,|     species
0  Bari2_062|
image159.png,|     species
0  Bari2_062|
image160.png,|     species
0  Bari2_062|
image161.png,|     species
0  Bari2_062|
image162.png,|     species
0  Bari2_062|
image163.png,|     species
0  Bari2_062|
image164.png,|     species
0  Bari2_062|
image165.png,|     species
0  Bari2_062|
image166.png,|     species
0  Bari2_062|
image167.png,|     species
0  Bari2_062|
image168.png,|     species
0  Bari2_062|
image169.png,|     species
0  Bari2_062|
image170.png,|     species
0  Bari2_062|
image171.png,|     species
0  Bari2_062|
image172.png,|     species
0  Bari2_062|
image173.png,|     species
0  Bari2_062|
image174.png,|     species
0  Bari2_062|
image175.png,|     species
0  Bari2_062|
image176.png,|     species
0  Bari2_062|
image177.png,|     species
0  Bari2_062|
image178.png,|     species
0  Bari2_062|
image179.png,|     species
0  Bari2_062|
image180.png,|     species
0  Bari2_062|
image181.png,|     species
0  Bari2_062|
image182.png,|     species
0  Bari2_062|
image183.png,|     species
0  Bari2_062|
image184.png,|     species
0  Bari2_062|
image185.png,|     species
0  Bari2_062|
image186.png,|     species
0  Bari2_062|
image187.png,|     species
0  Bari2_062|
image188.png,|     species
0  Bari2_062|
image189.png,|     species
0  Bari2_062|
image190.png,|     species
0  Bari2_062|
image191.png,|     species
0  Bari2_062|
image192.png,|     species
0  Bari2_062|
image193.png,|     species
0  Bari2_062|
image194.png,|     species
0  Bari2_062|
image195.png,|     species
0  Bari2_062|
image196.png,|     species
0  Bari2_062|
image197.png,|     species
0  Bari2_062|
image198.png,|     species
0  Bari2_062|
image199.png,|     species
0  Bari2_062|
image200.png,|     species
0  Bari2_062|
image201.png,|     species
0  Bari2_062|
image202.png,|     species
0  Bari2_062|
image203.png,|     species
0  Bari2_062|
image204.png,|     species
0  Bari2_062|
image205.png,|     species
0  Bari2_062|
image206.png,|     species
0  Bari2_062|
image207.png,|     species
0  Bari2_062|
image208.png,|     species
0  Bari2_062|
image209.png,|     species
0  Bari2_062|
image210.png,|     species
0  Bari2_062|
image211.png,|     species
0  Bari2_062|
image212.png,|     species
0  Bari2_062|
image213.png,|     species
0  Bari2_062|
image214.png,|     species
0  Bari2_062|
image215.png,|     species
0  Bari2_062|
image216.png,|     species
0  Bari2_062|
image217.png,|     species
0  Bari2_062|
image218.png,|     species
0  Bari2_062|
image219.png,|     species
0  Bari2_062|
image220.png,|     species
0  Bari2_062|
image221.png,|     species
0  Bari2_062|
image222.png,|     species
0  Bari2_062|
image223.png,|     species
0  Bari2_062|
image224.png,|     species
0  Bari2_062|
image225.png,|     species
0  Bari2_062|
image226.png,|     species
0  Bari2_062|
image227.png,|     species
0  Bari2_062|
image228.png,|     species
0  Bari2_062|
image229.png,|     species
0  Bari2_062|
image230.png,|     species
0  Bari2_062|
image231.png,|     species
0  Bari2_062|
image232.png,|     species
0  Bari2_062|
image233.png,|     species
0  Bari2_062|
image234.png,|     species
0  Bari2_062|
image235.png,|     species
0  Bari2_062|
image236.png,|     species
0  Bari2_062|
image237.png,|     species
0  Bari2_062|
image238.png,|     species
0  Bari2_062|
image239.png,|     species
0  Bari2_062|
image240.png,|     species
0  Bari2_062|
image241.png,|     species
0  Bari2_062|
image242.png,|     species
0  Bari2_062|
image243.png,|     species
0  Bari2_062|
image244.png,|     species
0  Bari2_062|
image245.png,|     species
0  Bari2_062|
image246.png,|     species
0  Bari2_062|
image247.png,|     species
0  Bari2_062|
image248.png,|     species
0  Bari2_062|
image249.png,|     species
0  Bari2_062|
image250.png,|     species
0  Bari2_062|
image251.png,|     species
0  Bari2_062|
image252.png,|     species
0  Bari2_062|
image253.png,|     species
0  Bari2_062|
image254.png,|     species
0  Bari2_062|
image255.png,|     species
0  Bari2_062|
image256.png,|     species
0  Bari2_062|
image257.png,|     species
0  Bari2_062|
image258.png,|     species
0  Bari2_062|
image259.png,|     species
0  Bari2_062|
image260.png,|     species
0  Bari2_062|
image261.png,|     species
0  Bari2_062|
image262.png,|     species
0  Bari2_062|
image263.png,|     species
0  Bari2_062|
image264.png,|     species
0  Bari2_062|
image265.png,|     species
0  Bari2_062|
image266.png,|     species
0  Bari2_062|
image267.png,|     species
0  Bari2_062|
image268.png,|     species
0  Bari2_062|
image269.png,|     species
0  Bari2_062|
image270.png,|     species
0  Bari2_062|
image271.png,|     species
0  Bari2_062|
image272.png,|     species
0  Bari2_062|
image273.png,|     species
0  Bari2_062|
image274.png,|     species
0  Bari2_062|
image275.png,|     species
0  Bari2_062|
image276.png,|     species
0  Bari2_062|
image277.png,|     species
0  Bari2_062|
image278.png,|     species
0  Bari2_062|
image279.png,|     species
0  Bari2_062|
image280.png,|     species
0  Bari2_062|
image281.png,|     species
0  Bari2_062|
image282.png,|     species
0  Bari2_062|
image283.png,|     species
0  Bari2_062|
image284.png,|     species
0  Bari2_062|
image285.png,|     species
0  Bari2_062|
image286.png,|     species
0  Bari2_062|
image287.png,|     species
0  Bari2_062|
image288.png,|     species
0  Bari2_062|
image289.png,|     species
0  Bari2_062|
image290.png,|     species
0  Bari2_062|
image291.png,|     species
0  Bari2_062|
image292.png,|     species
0  Bari2_062|
image293.png,|     species
0  Bari2_062|
image294.png,|     species
0  Bari2_062|
image295.png,|     species
0  Bari2_062|
image296.png,|     species
0  Bari2_062|
image297.png,|     species
0  Bari2_062|
image298.png,|     species
0  Bari2_062|
image299.png,|     species
0  Bari2_062|
image300.png,|     species
0  Bari2_062|
image301.png,|     species
0  Bari2_062|
image302.png,|     species
0  Bari2_062|
image303.png,|     species
0  Bari2_062|
image304.png,|     species
0  Bari2_062|
image305.png,|     species
0  Bari2_062|
image306.png,|     species
0  Bari2_062|
image307.png,|     species
0  Bari2_062|
image308.png,|     species
0  Bari2_062|
image309.png,|     species
0  Bari2_062|
image310.png,|     species
0  Bari2_062|
image311.png,|     species
0  Bari2_062|
image312.png,|     species
0  Bari2_062|
image313.png,|     species
0  Bari2_062|
image314.png,|     species
0  Bari2_062|
image315.png,|     species
0  Bari2_062|
image316.png,|     species
0  Bari2_062|
image317.png,|     species
0  Bari2_062|
image318.png,|     species
0  Bari2_062|
image319.png,|     species
0  Bari2_062|
image320.png,|     species
0  Bari2_062|
image321.png,|     species
0  Bari2_062|
image322.png,|     species
0  Bari2_062|
image323.png,|     species
0  Bari2_062|
image324.png,|     species
0  Bari2_062|
image325.png,|     species
0  Bari2_062|
image326.png,|     species
0  Bari2_062|
image327.png,|     species
0  Bari2_062|
image328.png,|     species
0  Bari2_062|
image329.png,|     species
0  Bari2_062|
image330.png,|     species
0  Bari2_062|
image331.png,|     species
0  Bari2_062|
image332.png,|     species
0  Bari2_062|
image333.png,|     species
0  Bari2_062|
image334.png,|     species
0  Bari2_062|
image335.png,|     species
0  Bari2_062|
image336.png,|     species
0  Bari2_062|
image337.png,|     species
0  Bari2_062|
image338.png,|     species
0  Bari2_062|
image339.png,|     species
0  Bari2_062|
image340.png,|     species
0  Bari2_062|
image341.png,|     species
0  Bari2_062|
image342.png,|     species
0  Bari2_062|
image343.png,|     species
0  Bari2_062|
image344.png,|     species
0  Bari2_062|
image345.png,|     species
0  Bari2_062|
image346.png,|     species
0  Bari2_062|
image347.png,|     species
0  Bari2_062|
image348.png,|     species
0  Bari2_062|
image349.png,|     species
0  Bari2_062|
image350.png,|     species
0  Bari2_062|
image351.png,|     species
0  Bari2_062|
image352.png,|     species
0  Bari2_062|
image353.png,|     species
0  Bari2_062|
image354.png,|     species
0  Bari2_062|
image355.png,|     species
0  Bari2_062|
image356.png,|     species
0  Bari2_062|
image357.png,|     species
0  Bari2_062|
image358.png,|     species
0  Bari2_062|
image359.png,|     species
0  Bari2_062|
image360.png,|     species
0  Bari2_062|
image361.png,|     species
0  Bari2_062|
image362.png,|     species
0  Bari2_062|
image363.png,|     species
0  Bari2_062|
image364.png,|     species
0  Bari2_062|
image365.png,|     species
0  Bari2_062|
image366.png,|     species
0  Bari2_062|
image367.png,|     species
0  Bari2_062|
image368.png,|     species
0  Bari2_062|
image369.png,|     species
0  Bari2_062|
image370.png,|     species
0  Bari2_062|
image371.png,|     species
0  Bari2_062|
image372.png,|     species
0  Bari2_062|
image373.png,|     species
0  Bari2_062|
image374.png,|     species
0  Bari2_062|
image375.png,|     species
0  Bari2_062|
image376.png,|     species
0  Bari2_062|
image377.png,|     species
0  Bari2_062|
image378.png,|     species
0  Bari2_062|
image379.png,|     species
0  Bari2_062|
image380.png,|     species
0  Bari2_062|
image381.png,|     species
0  Bari2_062|
image382.png,|     species
0  Bari2_062|
image383.png,|     species
0  Bari2_062|
image384.png,|     species
0  Bari2_062|
image385.png,|     species
0  Bari2_062|
image386.png,|     species
0  Bari2_062|
image387.png,|     species
0  Bari2_062|
image388.png,|     species
0  Bari2_062|
image389.png,|     species
0  Bari2_062|
image390.png,|     species
0  Bari2_062|
image391.png,|     species
0  Bari2_062|
image392.png,|     species
0  Bari2_062|
image393.png,|     species
0  Bari2_062|
image394.png,|     species
0  Bari2_062|
image395.png,|     species
0  Bari2_062|
image396.png,|     species
0  Bari2_062|
image397.png,|     species
0  Bari2_062|
image398.png,|     species
0  Bari2_062|
image399.png,|     species
0  Bari2_062|
image400.png,|     species
0  Bari2_062|
image401.png,|     species
0  Bari2_062|
image402.png,|     species
0  Bari2_062|
image403.png,|     species
0  Bari2_062|
image404.png,|     species
0  Bari2_062|
image405.png,|     species
0  Bari2_062|
image406.png,|     species
0  Bari2_062|
image407.png,|     species
0  Bari2_062|
image408.png,|     species
0  Bari2_062|
image409.png,|     species
0  Bari2_062|
image410.png,|     species
0  Bari2_062|
image411.png,|     species
0  Bari2_062|
image412.png,|     species
0  Bari2_062|
image413.png,|     species
0  Bari2_062|
image414.png,|     species
0  Bari2_062|
image415.png,|     species
0  Bari2_062|
image416.png,|     species
0  Bari2_062|
image417.png,|     species
0  Bari2_062|
image418.png,|     species
0  Bari2_062|
image419.png,|     species
0  Bari2_062|
image420.png,|     species
0  Bari2_062|
image421.png,|     species
0  Bari2_062|
image422.png,|     species
0  Bari2_062|
image423.png,|     species
0  Bari2_062|
image424.png,|     species
0  Bari2_062|
image425.png,|     species
0  Bari2_062|
image426.png,|     species
0  Bari2_062|
image427.png,|     species
0  Bari2_062|
image428.png,|     species
0  Bari2_062|
image429.png,|     species
0  Bari2_062|
image430.png,|     species
0  Bari2_062|
image431.png,|     species
0  Bari2_062|
image432.png,|     species
0  Bari2_062|
image433.png,|     species
0  Bari2_062|
image434.png,|     species
0  Bari2_062|
image435.png,|     species
0  Bari2_062|
image436.png,|     species
0  Bari2_062|
image437.png,|     species
0  Bari2_062|
image438.png,|     species
0  Bari2_062|
image439.png,|     species
0  Bari2_062|
image440.png,|     species
0  Bari2_062|
image441.png,|     species
0  Bari2_062|
image442.png,|     species
0  Bari2_062|
image443.png,|     species
0  Bari2_062|
image444.png,|     species
0  Bari2_062|
image445.png,|     species
0  Bari2_062|
image446.png,|     species
0  Bari2_062|
image447.png,|     species
0  Bari2_062|
image448.png,|     species
0  Bari2_062|
image449.png,|     species
0  Bari2_062|
image450.png,|     species
0  Bari2_062|
image451.png,|     species
0  Bari2_062|
image452.png,|     species
0  Bari2_062|
image453.png,|     species
0  Bari2_062|
image454.png,|     species
0  Bari2_062|
image455.png,|     species
0  Bari2_062|
image456.png,|     species
0  Bari2_062|
image457.png,|     species
0  Bari2_062|
image458.png,|     species
0  Bari2_062|
image459.png,|     species
0  Bari2_062|
image460.png,|     species
0  Bari2_062|
image461.png,|     species
0  Bari2_062|
image462.png,|     species
0  Bari2_062|
image463.png,|     species
0  Bari2_062|
image464.png,|     species
0  Bari2_062|
image465.png,|     species
0  Bari2_062|
image466.png,|     species
0  Bari2_062|
image467.png,|     species
0  Bari2_062|
image468.png,|     species
0  Bari2_062|
image469.png,|     species
0  Bari2_062|
image470.png,|     species
0  Bari2_062|
image471.png,|     species
0  Bari2_062|
image472.png,|     species
0  Bari2_062|
image473.png,|     species
0  Bari2_062|
image474.png,|     species
0  Bari2_062|
image475.png,|     species
0  Bari2_062|
image476.png,|     species
0  Bari2_062|
image477.png,|     species
0  Bari2_062|
image478.png,|     species
0  Bari2_062|
image479.png,|     species
0  Bari2_062|
image480.png,|     species
0  Bari2_062|
image481.png,|     species
0  Bari2_062|
image482.png,|     species
0  Bari2_062|
image483.png,|     species
0  Bari2_062|
image484.png,|     species
0  Bari2_062|
image485.png,|     species
0  Bari2_062|
image486.png,|     species
0  Bari2_062|
image487.png,|     species
0  Bari2_062|
image488.png,|     species
0  Bari2_062|
image489.png,|     species
0  Bari2_062|
image490.png,|     species
0  Bari2_062|
image491.png,|     species
0  Bari2_062|
image492.png,|     species
0  Bari2_062|
image493.png,|     species
0  Bari2_062|
image494.png,|     species
0  Bari2_062|
image495.png,|     species
0  Bari2_062|
image496.png,|     species
0  Bari2_062|
image497.png,|     species
0  Bari2_062|
image498.png,|     species
0  Bari2_062|
image499.png,|     species
0  Bari2_062|
image500.png,|     species
0  Bari2_062|
image501.png,|     species
0  Bari2_062|
image502.png,|     species
0  Bari2_062|
image503.png,|     species
0  Bari2_062|
image504.png,|     species
0  Bari2_062|
image505.png,|     species
0  Bari2_062|
image506.png,|     species
0  Bari2_062|
image507.png,|     species
0  Bari2_062|
image508.png,|     species
0  Bari2_062|
image509.png,|     species
0  Bari2_062|
image510.png,|     species
0  Bari2_062|
image511.png,|     species
0  Bari2_062|
image512.png,|     species
0  Bari2_062|
image513.png,|     species
0  Bari2_062|
image514.png,|     species
0  Bari2_062|
image515.png,|     species
0  Bari2_062|
image516.png,|     species
0  Bari2_062|
image517.png,|     species
0  Bari2_062|
image518.png,|     species
0  Bari2_062|
image519.png,|     species
0  Bari2_062|
image520.png,|     species
0  Bari2_062|
image521.png,|     species
0  Bari2_062|
image522.png,|     species
0  Bari2_062|
image523.png,|     species
0  Bari2_062|
image524.png,|     species
0  Bari2_062|
image525.png,|     species
0  Bari2_062|
image526.png,|     species
0  Bari2_062|
image527.png,|     species
0  Bari2_062|
image528.png,|     species
0  Bari2_062|
image529.png,|     species
0  Bari2_062|
image530.png,|     species
0  Bari2_062|
image531.png,|     species
0  Bari2_062|
image532.png,|     species
0  Bari2_062|
image533.png,|     species
0  Bari2_062|
image534.png,|     species
0  Bari2_062|
image535.png,|     species
0  Bari2_062|
image536.png,|     species
0  Bari2_062|
image537.png,|     species
0  Bari2_062|
image538.png,|     species
0  Bari2_062|
image539.png,|     species
0  Bari2_062|
image540.png,|     species
0  Bari2_062|
image541.png,|     species
0  Bari2_062|
image542.png,|     species
0  Bari2_062|
image543.png,|     species
0  Bari2_062|
image544.png,|     species
0  Bari2_062|
image545.png,|     species
0  Bari2_062|
image546.png,|     species
0  Bari2_062|
image547.png,|     species
0  Bari2_062|
image548.png,|     species
0  Bari2_062|
image549.png,|     species
0  Bari2_062|
image550.png,|     species
0  Bari2_062|
image551.png,|     species
0  Bari2_062|
image552.png,|     species
0  Bari2_062|
image553.png,|     species
0  Bari2_062|
image554.png,|     species
0  Bari2_062|
image555.png,|     species
0  Bari2_062|
image556.png,|     species
0  Bari2_062|
image557.png,|     species
0  Bari2_062|
image558.png,|     species
0  Bari2_062|
image559.png,|     species
0  Bari2_062|
image560.png,|     species
0  Bari2_062|
image561.png,|     species
0  Bari2_062|
image562.png,|     species
0  Bari2_062|
image563.png,|     species
0  Bari2_062|
image564.png,|     species
0  Bari2_062|
image565.png,|     species
0  Bari2_062|
image566.png,|     species
0  Bari2_062|
image567.png,|     species
0  Bari2_062|
image568.png,|     species
0  Bari2_062|
image569.png,|     species
0  Bari2_062|
image570.png,|     species
0  Bari2_062|
image571.png,|     species
0  Bari2_062|
image572.png,|     species
0  Bari2_062|
image573.png,|     species
0  Bari2_062|
image574.png,|     species
0  Bari2_062|
image575.png,|     species
0  Bari2_062|
image576.png,|     species
0  Bari2_062|
image577.png,|     species
0  Bari2_062|
image578.png,|     species
0  Bari2_062|
image579.png,|     species
0  Bari2_062|
image580.png,|     species
0  Bari2_062|
image581.png,|     species
0  Bari2_062|
image582.png,|     species
0  Bari2_062|
image583.png,|     species
0  Bari2_062|
image584.png,|     species
0  Bari2_062|
image585.png,|     species
0  Bari2_062|
image586.png,|     species
0  Bari2_062|
image587.png,|     species
0  Bari2_062|
image588.png,|     species
0  Bari2_062|
image589.png,|     species
0  Bari2_062|
image590.png,|     species
0  Bari2_062|
image591.png,|     species
0  Bari2_062|
image592.png,|     species
0  Bari2_062|
image593.png,|     species
0  Bari2_062|
image594.png,|     species
0  Bari2_062|
image595.png,|     species
0  Bari2_062|
image596.png,|     species
0  Bari2_062|
image597.png,|     species
0  Bari2_062|
image598.png,|     species
0  Bari2_062|
image599.png,|     species
0  Bari2_062|
image600.png,|     species
0  Bari2_062|
image601.png,|     species
0  Bari2_062|
image602.png,|     species
0  Bari2_062|
image603.png,|     species
0  Bari2_062|
image604.png,|     species
0  Bari2_062|
image605.png,|     species
0  Bari2_062|
image606.png,|     species
0  Bari2_062|
image607.png,|     species
0  Bari2_062|
image608.png,|     species
0  Bari2_062|
image609.png,|     species
0  Bari2_062|
image610.png,|     species
0  Bari2_062|
image611.png,|     species
0  Bari2_062|
image612.png,|     species
0  Bari2_062|
image613.png,|     species
0  Bari2_062|
image614.png,|     species
0  Bari2_062|
image615.png,|     species
0  Bari2_062|
image616.png,|     species
0  Bari2_062|
image617.png,|     species
0  Bari2_062|
image618.png,|     species
0  Bari2_062|
image619.png,|     species
0  Bari2_062|
image620.png,|     species
0  Bari2_062|
image621.png,|     species
0  Bari2_062|
image622.png,|     species
0  Bari2_062|
image623.png,|     species
0  Bari2_062|
image624.png,|     species
0  Bari2_062|
image625.png,|     species
0  Bari2_062|
image626.png,|     species
0  Bari2_062|
image627.png,|     species
0  Bari2_062|
image628.png,|     species
0  Bari2_062|
image629.png,|     species
0  Bari2_062|
image630.png,|     species
0  Bari2_062|
image631.png,|     species
0  Bari2_062|
image632.png,|     species
0  Bari2_062|
image633.png,|     species
0  Bari2_062|
image634.png,|     species
0  Bari2_062|
image635.png,|     species
0  Bari2_062|
image636.png,|     species
0  Bari2_062|
image637.png,|     species
0  Bari2_062|
image638.png,|     species
0  Bari2_062|
image639.png,|     species
0  Bari2_062|
image640.png,|     species
0  Bari2_062|
image641.png,|     species
0  Bari2_062|
image642.png,|     species
0  Bari2_062|
image643.png,|     species
0  Bari2_062|
image644.png,|     species
0  Bari2_062|
image645.png,|     species
0  Bari2_062|
image646.png,|     species
0  Bari2_062|
image647.png,|     species
0  Bari2_062|
image648.png,|     species
0  Bari2_062|
image649.png,|     species
0  Bari2_062|
image650.png,|     species
0  Bari2_062|
image651.png,|     species
0  Bari2_062|
image652.png,|     species
0  Bari2_062|
image653.png,|     species
0  Bari2_062|
image654.png,|     species
0  Bari2_062|
image655.png,|     species
0  Bari2_062|
image656.png,|     species
0  Bari2_062|
image657.png,|     species
0  Bari2_062|
image658.png,|     species
0  Bari2_062|
image659.png,|     species
0  Bari2_062|
image660.png,|     species
0  Bari2_062|
image661.png,|     species
0  Bari2_062|
image662.png,|     species
0  Bari2_062|
image663.png,|     species
0  Bari2_062|
image664.png,|     species
0  Bari2_062|
image665.png,|     species
0  Bari2_062|
image666.png,|     species
0  Bari2_062|
image667.png,|     species
0  Bari2_062|
image668.png,|     species
0  Bari2_062|
image669.png,|     species
0  Bari2_062|
image670.png,|     species
0  Bari2_062|
image671.png,|     species
0  Bari2_062|
image672.png,|     species
0  Bari2_062|
image673.png,|     species
0  Bari2_062|
image674.png,|     species
0  Bari2_062|
image675.png,|     species
0  Bari2_062|
image676.png,|     species
0  Bari2_062|
image677.png,|     species
0  Bari2_062|
image678.png,|     species
0  Bari2_062|
image679.png,|     species
0  Bari2_062|
image680.png,|     species
0  Bari2_062|
image681.png,|     species
0  Bari2_062|
image682.png,|     species
0  Bari2_062|
image683.png,|     species
0  Bari2_062|
image684.png,|     species
0  Bari2_062|
image685.png,|     species
0  Bari2_062|
image686.png,|     species
0  Bari2_062|
image687.png,|     species
0  Bari2_062|
image688.png,|     species
0  Bari2_062|
image689.png,|     species
0  Bari2_062|
image690.png,|     species
0  Bari2_062|
image691.png,|     species
0  Bari2_062|
image692.png,|     species
0  Bari2_062|
image693.png,|     species
0  Bari2_062|
image694.png,|     species
0  Bari2_062|
image695.png,|     species
0  Bari2_062|
image696.png,|     species
0  Bari2_062|
image697.png,|     species
0  Bari2_062|
image698.png,|     species
0  Bari2_062|
image699.png,|     species
0  Bari2_062|
image700.png,|     species
0  Bari2_062|
image701.png,|     species
0  Bari2_062|
image702.png,|     species
0  Bari2_062|
image703.png,|     species
0  Bari2_062|
image704.png,|     species
0  Bari2_062|
image705.png,|     species
0  Bari2_062|
image706.png,|     species
0  Bari2_062|
image707.png,|     species
0  Bari2_062|
image708.png,|     species
0  Bari2_062|
image709.png,|     species
0  Bari2_062|
image710.png,|     species
0  Bari2_062|
image711.png,|     species
0  Bari2_062|
image712.png,|     species
0  Bari2_062|
image713.png,|     species
0  Bari2_062|
image714.png,|     species
0  Bari2_062|
image715.png,|     species
0  Bari2_062|
image716.png,|     species
0  Bari2_062|
image717.png,|     species
0  Bari2_062|
image718.png,|     species
0  Bari2_062|
image719.png,|     species
0  Bari2_062|
image720.png,|     species
0  Bari2_062|
image721.png,|     species
0  Bari2_062|
image722.png,|     species
0  Bari2_062|
image723.png,|     species
0  Bari2_062|
image724.png,|     species
0  Bari2_062|
image725.png,|     species
0  Bari2_062|
image726.png,|     species
0  Bari2_062|
image727.png,|     species
0  Bari2_062|
image728.png,|     species
0  Bari2_062|
image729.png,|     species
0  Bari2_062|
image730.png,|     species
0  Bari2_062|
image731.png,|     species
0  Bari2_062|
image732.png,|     species
0  Bari2_062|
image733.png,|     species
0  Bari2_062|
image734.png,|     species
0  Bari2_062|
image735.png,|     species
0  Bari2_062|
image736.png,|     species
0  Bari2_062|
